Transaction Date,Post Date,Description,Category,Type,Amount
2024-01-02,2024-01-03,AMAZON.COM*1A2B3C4D,Shopping,Sale,-89.99
2024-01-03,2024-01-04,UBER *TRIP,Transportation,Sale,-24.50
2024-01-04,2024-01-05,WHOLE FOODS #10234,Groceries,Sale,-156.78
2024-01-05,2024-01-06,NETFLIX.COM,Entertainment,Sale,-15.99
2024-01-06,2024-01-07,SHELL OIL 574839201,Gas,Sale,-52.00
2024-01-07,2024-01-08,STARBUCKS STORE 12345,Dining,Sale,-7.85
2024-01-08,2024-01-09,TARGET 00012345,Shopping,Sale,-234.56
2024-01-09,2024-01-10,SPOTIFY USA,Entertainment,Sale,-10.99
2024-01-10,2024-01-11,CHICK-FIL-A #02345,Dining,Sale,-12.45
2024-01-11,2024-01-12,COSTCO WHSE #1234,Groceries,Sale,-312.45
2024-01-12,2024-01-13,DELTA AIR 0012345678,Travel,Sale,-456.00
2024-01-13,2024-01-14,MARRIOTT HOTELS,Travel,Sale,-189.00
2024-01-14,2024-01-15,UBER EATS,Dining,Sale,-35.67
2024-01-15,2024-01-16,APPLE.COM/BILL,Entertainment,Sale,-14.99
2024-01-16,2024-01-17,HOME DEPOT #1234,Home,Sale,-87.34
2024-01-17,2024-01-18,CVS/PHARMACY #12345,Health,Sale,-23.45
2024-01-18,2024-01-19,TRADER JOE'S #123,Groceries,Sale,-98.76
2024-01-19,2024-01-20,LYFT *RIDE,Transportation,Sale,-18.90
2024-01-20,2024-01-21,CHEESECAKE FACTORY,Dining,Sale,-78.50
2024-01-21,2024-01-22,BEST BUY 00012345,Electronics,Sale,-299.99
2024-01-22,2024-01-23,AMAZON PRIME*1X2Y3Z,Shopping,Sale,-14.99
2024-01-23,2024-01-24,GRUBHUB ORDER,Dining,Sale,-42.30
2024-01-24,2024-01-25,PETCO ANIMAL 12345,Pets,Sale,-67.89
2024-01-25,2024-01-26,PAYMENT THANK YOU,Payment,Payment,1500.00
2024-01-26,2024-01-27,WALGREENS #12345,Health,Sale,-15.67
2024-01-27,2024-01-28,PANERA BREAD #1234,Dining,Sale,-18.90
2024-01-28,2024-01-29,AMAZON.COM*2B3C4D5E,Shopping,Sale,-45.67
2024-01-29,2024-01-30,HULU SUBSCRIPTION,Entertainment,Sale,-17.99
2024-01-30,2024-01-31,INSTACART,Groceries,Sale,-123.45
