Line Item,Q1 2025,Q2 2025,Q3 2025,Q4 2025,YTD 2025
Revenue - Product Sales,125000,142000,168000,195000,630000
Revenue - Services,45000,52000,61000,72000,230000
Revenue - Subscriptions,32000,38000,45000,54000,169000
Total Revenue,202000,232000,274000,321000,1029000
Cost of Goods Sold,48000,54000,62000,71000,235000
Gross Profit,154000,178000,212000,250000,794000
Operating Expenses - Salaries,85000,92000,98000,105000,380000
Operating Expenses - Marketing,18000,22000,28000,35000,103000
Operating Expenses - Rent,12000,12000,12000,12000,48000
Operating Expenses - Software,8500,9200,10000,11000,38700
Operating Expenses - Utilities,2800,2600,3100,3200,11700
Operating Expenses - Insurance,4500,4500,4500,4500,18000
Operating Expenses - Other,6200,7100,8400,9800,31500
Total Operating Expenses,137000,149400,164000,180500,630900
Operating Income,17000,28600,48000,69500,163100
Interest Expense,1200,1100,1000,900,4200
Other Income,500,800,1200,1500,4000
Net Income Before Tax,16300,28300,48200,70100,162900
Income Tax,4075,7075,12050,17525,40725
Net Income,12225,21225,36150,52575,122175
